@relation training_data

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute emotion {positive,neutral,negative}

@data
0.7221,0,0.36105,-1,1,-1,1,-1,0,0,0,7,positive
0,0,-1,-1,0,0,0,0,0,0,0,9,neutral
0.780785,-0.076788,0.260262,-0.025596,0,0,0,0,0,0,0,2,neutral
0.018248,-0.204545,0.018248,-0.102273,0,-3,0,-1,0,0,0,5,neutral
0.635239,-0.726582,0.211746,-0.242194,1,0,1,0,0,0,0,9,positive
0.190646,-0.496077,0.095323,-0.165359,3,-4,1,-2,0,1,0,7,positive
0.319507,-0.09774,0.106502,-0.04887,1,0,1,0,0,1,0,10,neutral
0.142562,-0.007526,0.142562,-0.007526,0,0,0,0,1,0,0,5,neutral
0.106952,-0.411218,0.053476,-0.137073,0,-1,0,-1,0,0,0,4,neutral
0.190444,-0.1,0.038089,-0.1,0,0,0,0,0,0,0,9,positive
0,0,-1,-1,0,-1,0,-1,0,0,0,6,neutral
0.255577,-0.041667,0.063894,-0.041667,1,0,1,0,0,0,0,3,positive
0.022996,-0.041667,0.022996,-0.041667,0,0,0,0,0,0,0,6,neutral
0,0,-1,-1,1,0,1,0,0,0,0,7,neutral
0.139167,-0.028849,0.069583,-0.028849,1,0,1,0,0,0,0,8,neutral
0,0,-1,-1,0,0,0,0,0,0,0,17,neutral
0.120919,0,0.120919,-1,0,0,0,0,0,0,0,6,neutral
0.080642,-0.265114,0.080642,-0.265114,0,0,0,0,0,1,0,5,positive
0.539998,-0.300964,0.179999,-0.150482,0,-1,0,-1,0,0,0,5,negative
0,-0.027595,-1,-0.027595,0,0,0,0,0,0,0,4,neutral
0.348976,-0.75,0.087244,-0.375,0,0,0,0,0,0,0,8,neutral
0.339013,-0.007526,0.056502,-0.007526,0,0,0,0,0,6,0,7,positive
0.744227,-0.125,0.248076,-0.125,5,0,1,0,0,0,0,6,positive
0.041667,0,0.041667,-1,0,0,0,0,0,0,0,18,neutral
0.382226,-0.049688,0.191113,-0.024844,1,0,1,0,0,3,0,15,positive
0.931874,-0.458333,0.155312,-0.229167,3,-1,1,-1,0,0,0,4,positive
0.0271,0,0.0271,-1,1,0,1,0,0,0,0,26,neutral
0.037935,-0.205,0.037935,-0.068333,2,0,2,0,0,0,0,1,positive
0.152164,-0.088371,0.050721,-0.088371,0,0,0,0,0,0,0,9,neutral
0.535888,-0.041667,0.267944,-0.041667,2,0,2,0,0,0,0,12,positive
0.691956,-0.050519,0.345978,-0.025259,2,-1,2,-1,1,0,0,7,positive
0.031722,0,0.031722,-1,0,0,0,0,0,0,0,2,neutral
0.344983,-0.022727,0.086246,-0.022727,1,0,1,0,0,1,0,8,positive
0.697547,-0.53,0.348773,-0.265,1,-1,1,-1,0,0,0,6,positive
0,0,-1,-1,0,0,0,0,0,0,0,10,neutral
0,0,-1,-1,1,0,1,0,0,2,0,9,positive
0,0,-1,-1,0,-2,0,-2,0,3,0,18,positive
0.167979,0,0.08399,-1,0,-4,0,-2,0,0,0,7,neutral
0.019284,0,0.019284,-1,0,0,0,0,0,0,0,13,neutral
0,0,-1,-1,0,0,0,0,0,1,0,13,neutral
0.207117,-0.333333,0.103558,-0.166667,1,0,1,0,0,0,0,4,neutral
0.181114,0,0.181114,-1,0,0,0,0,0,0,0,12,neutral
0.052447,-0.069262,0.026224,-0.034631,0,-2,0,-2,0,3,0,9,positive
0.115056,0,0.057528,-1,0,0,0,0,0,0,0,7,neutral
0.142562,-0.256667,0.142562,-0.128333,0,0,0,0,0,1,0,4,neutral
0.343685,0,0.171842,-1,1,0,1,0,0,2,0,6,positive
0.069728,-0.222274,0.069728,-0.111137,0,0,0,0,1,0,0,2,neutral
0.160896,-0.068182,0.053632,-0.068182,0,0,0,0,0,0,0,29,positive
0.229452,0,0.114726,-1,0,0,0,0,1,0,0,9,neutral
0,0,-1,-1,1,-1,1,-1,0,0,0,12,positive
0.083333,-0.13765,0.083333,-0.068825,0,0,0,0,0,0,0,4,neutral
0.653836,-0.570641,0.326918,-0.570641,1,-1,1,-1,1,0,0,5,neutral
0.0621,0,0.0207,-1,0,0,0,0,0,0,0,1,neutral
0.050208,0,0.050208,-1,1,0,1,0,0,0,0,14,negative
0.264017,-0.26747,0.132008,-0.133735,0,-1,0,-1,0,0,0,14,neutral
0.070583,0,0.035291,-1,0,0,0,0,0,0,0,6,neutral
0.789307,-0.10034,0.263102,-0.05017,0,-2,0,-2,0,0,0,3,negative
0.050208,-0.069696,0.050208,-0.034848,0,0,0,0,0,0,0,5,neutral
0.4726,-0.041667,0.078767,-0.041667,2,0,2,0,1,0,0,1,positive
0.5,-0.042249,0.5,-0.021124,2,0,2,0,0,0,0,6,neutral
